,DailyTotalBrightSunshine_AllYear_url,DailyMeanPressure_AllYear_url,DailyMaximumTemperature_AllYear_url,DailyMeanTemperature_AllYear_url,DailyMinimumTemperature_AllYear_url,DailyGlobalSolarRadiation_AllYear_url,DailyTotalEvaporation_AllYear_url,DailyMeanAmountCloud_AllYear_url,DailyMaximumUVIndex_AllYear_url,DailyMeanUVIndex_AllYear_url,DailyMeanRelativeHumidity_AllYear_url,DailyMaximumHeatIndex_AllYear_url,DailyMeanHeatIndex_AllYear_url,DailyTotalRainfall_AllYear_url,DailyMeanWindSpeed_AllYear_url,DailyPrevailingWindDirection_AllYear_url,DailyMeanWetBulb_AllYear_url
Kau Sai Chau,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_MINT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_GSR_ALL.csv,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_RF_ALL.csv,,,
Kwun Tong,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_MINT_ALL.csv,,,,,,,,,,,,
Lau Fau Shan,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_PDIR_ALL.csv,
Ngong Ping ,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_MINT_ALL.csv,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_PDIR_ALL.csv,
Pak Tam Chung (Tsak Yue Wu),,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_MINT_ALL.csv,,,,,,,,,,,,
Peng Chau,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_PDIR_ALL.csv,
Tai Mei Tuk,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_MINT_ALL.csv,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_PDIR_ALL.csv,
Kai Tak Runway Park,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_MINT_ALL.csv,,,,,,,,,,,,
Shek Kong,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_PDIR_ALL.csv,
Sha Tin,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_PDIR_ALL.csv,
Sai Kung,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_RH_ALL.csv,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_PDIR_ALL.csv,
Shau Kei Wan,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_MINT_ALL.csv,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_RF_ALL.csv,,,
Sheung Shui,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_RF_ALL.csv,,,
Sham Shui Po,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_MINT_ALL.csv,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_RF_ALL.csv,,,
Stanley,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_MINT_ALL.csv,,,,,,,,,,,,
Tate's Cairn,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_PDIR_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_WET_ALL.csv
Ta Kwu Ling,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_PDIR_ALL.csv,
Tai Mo Shan,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_RF_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_WET_ALL.csv
Tai Po (Conservation Studies Centre),,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_MINT_ALL.csv,,,,,,,,,,,,
Tuen Mun Children and Juvenile Home,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_RF_ALL.csv,,,
Tsuen Wan Shing Mun Valley,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_RH_ALL.csv,,,,,,
Tsuen Wan,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_RF_ALL.csv,,,
New Tsing Yi Station,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_RH_ALL.csv,,,,,,
Tsak Yue Wu,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_RF_ALL.csv,,,
The Peak,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_MINT_ALL.csv,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_RF_ALL.csv,,,
Waglan Island,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_PDIR_ALL.csv,
Wetland Park,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_RH_ALL.csv,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_PDIR_ALL.csv,
Wong Tai Sin,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_MINT_ALL.csv,,,,,,,,,,,,
Tai Po (Yuan Chau Tsai Park),,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_RH_ALL.csv,,,,,,
Yuen Long Park,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_MINT_ALL.csv,,,,,,,,,,,,
Tuen Mun Children and Juvenile Home ,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_MINT_ALL.csv,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_RH_ALL.csv,,,,,,
Kai Tak,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE_RF_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE_PDIR_ALL.csv,
Ching Pak House(Tsing Yi),,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CPH_RF_ALL.csv,,,
Sha Chau,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SC_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SC_PDIR_ALL.csv,
Central Pier,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CP1_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CP1_PDIR_ALL.csv,
Cheung Chau Beach,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCB_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCB_PDIR_ALL.csv,
Green Island,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_GI_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_GI_PDIR_ALL.csv,
Lamma Island,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LAM_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LAM_PDIR_ALL.csv,
North Point,,,,,,,,,,,,,,,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NP_WSPD_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NP_PDIR_ALL.csv,
