DailyMeanRelativeHumidity_AllYear_url,DailyMeanRelativeHumidity_CurrentYear_url,WeatherStationName_en,WeatherStationName_sc,WeatherStationName_uc,GeometryLongitude,GeometryLatitude
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_RH_2024.csv,Shek Kong,石岗 ,石崗,114.0847222000001,22.436111100000062
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_RH_2024.csv,Sheung Shui,上水,上水,114.11111110000002,22.50194440000007
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_RH_2024.csv,Ta Kwu Ling,打鼓岭,打鼓嶺,114.15666670000007,22.528611100000035
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_RH_2024.csv,Tai Mo Shan,大帽山,大帽山,114.12444440000002,22.410555600000066
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_RH_2024.csv,Tai Po (Yuan Chau Tsai Park),大埔（元洲仔公园）,大埔（元洲仔公園）,114.17710000000011,22.44822000000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_RH_2024.csv,Tate's Cairn,大老山,大老山,114.21777780000002,22.357777800000065
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_RH_2024.csv,Tseung Kwan O,将军澳,將軍澳,114.2555556000001,22.315833300000065
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_RH_2024.csv,New Tsing Yi Station,新青衣站,新青衣站,114.11000000000001,22.34416667000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_RH_2024.csv,Tsuen Wan Shing Mun Valley,荃湾城门谷,荃灣城門谷,114.1266667000001,22.37555560000004
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_RH_2024.csv,Tuen Mun Children and Juvenile Home ,屯门儿童及青少年院,屯門兒童及青少年院,114.96416670000008,22.38583330000006
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_RH_2024.csv,Waglan Island,横澜岛,橫瀾島,114.30333330000008,22.18222220000007
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_RH_2024.csv,Wetland Park,湿地公园,濕地公園,114.0088889000001,22.466666700000076
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_RH_2024.csv,Wong Chuk Hang,黄竹坑,黃竹坑,114.17361110000002,22.24777780000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_RH_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_RH_2024.csv,Tsuen Wan,荃湾,荃灣,114.10777780000001,22.383611100000053
